Year,Month,ProductCategory,Quantity_Sold,Total_Revenue,Reorder_Level,Restock_Quantity,Lead_Time,Stock_Quantity
2023,1,Beauty & Personal Care,25485,6513514.54,5097,10194,5,12742.5
2023,1,Clothing,25724,6579560.77,5144,10288,5,12862.0
2023,1,Electronics,25112,6463044.24,5022,10044,5,12556.0
2023,1,Grocery,24884,6355629.72,4976,9952,5,12442.0
2023,1,Home & Kitchen,24788,6318316.92,4957,9914,5,12394.0
2023,2,Beauty & Personal Care,22676,5826182.54,4535,9070,5,11338.0
2023,2,Clothing,22678,5760449.91,4535,9070,5,11339.0
2023,2,Electronics,22729,5853829.63,4545,9090,5,11364.5
2023,2,Grocery,22638,5718203.22,4527,9054,5,11319.0
2023,2,Home & Kitchen,22313,5664597.75,4462,8924,5,11156.5
2023,3,Beauty & Personal Care,24856,6310943.55,4971,9942,5,12428.0
2023,3,Clothing,25483,6529429.05,5096,10192,5,12741.5
2023,3,Electronics,25240,6438519.26,5048,10096,5,12620.0
2023,3,Grocery,25073,6374096.57,5014,10028,5,12536.5
2023,3,Home & Kitchen,25361,6467568.12,5072,10144,5,12680.5
2023,4,Beauty & Personal Care,24873,6363110.29,4974,9948,5,12436.5
2023,4,Clothing,23536,6085413.91,4707,9414,5,11768.0
2023,4,Electronics,23800,6040769.2,4760,9520,5,11900.0
2023,4,Grocery,24381,6207146.78,4876,9752,5,12190.5
2023,4,Home & Kitchen,24444,6259154.34,4888,9776,5,12222.0
2023,5,Beauty & Personal Care,25284,6473862.77,5056,10112,5,12642.0
2023,5,Clothing,25510,6509802.01,5102,10204,5,12755.0
2023,5,Electronics,24783,6259288.88,4956,9912,5,12391.5
2023,5,Grocery,25104,6429053.21,5020,10040,5,12552.0
2023,5,Home & Kitchen,25073,6397576.4,5014,10028,5,12536.5
2023,6,Beauty & Personal Care,24134,6187839.06,4826,9652,5,12067.0
2023,6,Clothing,23939,6143889.36,4787,9574,5,11969.5
2023,6,Electronics,24316,6212821.67,4863,9726,5,12158.0
2023,6,Grocery,24458,6246872.02,4891,9782,5,12229.0
2023,6,Home & Kitchen,24321,6206427.14,4864,9728,5,12160.5
2023,7,Beauty & Personal Care,25114,6384787.03,5022,10044,5,12557.0
2023,7,Clothing,24886,6266035.67,4977,9954,5,12443.0
2023,7,Electronics,25242,6373646.32,5048,10096,5,12621.0
2023,7,Grocery,24678,6326481.18,4935,9870,5,12339.0
2023,7,Home & Kitchen,25858,6632870.78,5171,10342,5,12929.0
2023,8,Beauty & Personal Care,24728,6250087.04,4945,9890,5,12364.0
2023,8,Clothing,25280,6402809.93,5056,10112,5,12640.0
2023,8,Electronics,25070,6393411.02,5014,10028,5,12535.0
2023,8,Grocery,25316,6472099.63,5063,10126,5,12658.0
2023,8,Home & Kitchen,24949,6360047.34,4989,9978,5,12474.5
2023,9,Beauty & Personal Care,24478,6269597.33,4895,9790,5,12239.0
2023,9,Clothing,23728,6129351.12,4745,9490,5,11864.0
