Date,Total
2023-01-01,32230066.19
2023-02-01,28823263.05
2023-03-01,32120556.55
2023-04-01,30955594.52
2023-05-01,32069583.27
2023-06-01,30997849.25
2023-07-01,31983820.98
2023-08-01,31878454.96
2023-09-01,30865306.32
2023-10-01,32167690.07
2023-11-01,31108855.36
2023-12-01,32125221.42
2024-01-01,31964104.48
2024-02-01,29839652.7
2024-03-01,31756582.04
2024-04-01,31342217.9
2024-05-01,32327866.05
2024-06-01,30849465.84
2024-07-01,32334673.93
2024-08-01,32099123.41
2024-09-01,31237862.73
2024-10-01,32048468.39
2024-11-01,30927635.92
2024-12-01,32087889.16
