pid,product_name,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
1,Milk,5,8,9,16,18,23
2,Bread,8,7,14,17,17,18
3,Rice,7,9,27,17,12,20
4,Sugar,13,8,17,21,19,13
5,Eggs,46,40,15,19,17,14
6,Butter,9,8,6,15,16,19
7,Flour,7,6,23,15,13,16
8,Juice,12,10,7,18,15,24
9,Chicken,4,4,8,17,24,11
10,Coffee,4,6,14,18,23,16
11,Butter,5,5,0,0,0,0
12,Cheese,5,5,0,0,0,0
13,Chicken,8,5,0,0,0,0
14,Fish,8,6,0,0,0,0
15,Apples,13,6,0,0,0,0
16,Bananas,9,11,0,0,0,0
17,Tomatoes,12,11,0,0,0,0
18,Potatoes,13,9,0,0,0,0
19,Onions,10,7,0,0,0,0
20,Carrots,15,10,0,0,0,0
